folder,focused,unfocused,predicted_label
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_D_S_T,0.5005,0.4995,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_D_T_L,0.4998,0.5,1
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_D_T_R,0.5,0.5,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_D_T_T,0.5,0.5,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_D_U_L,0.5,0.5,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_D_U_R,0.501,0.499,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_D_U_T,0.4998,0.5,1
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_F_C_L,0.502,0.4983,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_F_C_R,0.501,0.4993,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_F_C_T,0.502,0.4983,0
C:/Users/user/Downloads/126.eye/0801/t/o/og/TS/TS/all_image_30/134_face_crop\NIA22EYE_S1_134_T1_S04_T_rgb_F_D_L,0.5,0.5,0
